Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A040120,ORG_B040120,ORG_C040120,ORG_D040120,ORG_E040120,ORG_F040120,ORG_G040120,ORG_H040120,ORG_I040120,ORG_J040120,ORG_K040120,ORG_L040120,ORG_M040120,ORG_N040120,ORG_O040120,ORG_P040120,ORG_R040120,ORG_S040120,ORG_T040120,ORG_U040120,FIPS_ST_CNTY_CD,Month
48335,Mitchell County,"Mitchell County, Texas",0,48,335,,,,,,,,,,,,,,,,,,,,,,48335,April
48337,Montague County,"Montague County, Texas",0,48,337,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,5.15,0,48337,April
48339,Montgomery County,"Montgomery County, Texas",0,48,339,,110,2,,,,29,35.8,0,87,378.26,0,,2,,0,,0.02,0,19.84,0.36,48339,April
48341,Moore County,"Moore County, Texas",0,48,341,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,4.59,0,48341,April
48343,Morris County,"Morris County, Texas",0,48,343,,1,0,,,,0,0,0,0,0,0,,0,,0,,0.01,0,8.05,0,48343,April
48345,Motley County,"Motley County, Texas",0,48,345,,,,,,,,,,,,,,,,,,,,,,48345,April
48347,Nacogdoches County,"Nacogdoches County, Texas",0,48,347,,4,0,,,,2,100,0,0,,0,,0,,0,,0.01,0,6.1,0,48347,April
48349,Navarro County,"Navarro County, Texas",0,48,349,,4,0,,,,1,33.33,0,0,,0,,0,,0,,0.01,0,8.23,0,48349,April
48351,Newton County,"Newton County, Texas",0,48,351,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,7.11,0,48351,April
48353,Nolan County,"Nolan County, Texas",0,48,353,,,,,,,,,,,,,,,,,,,,,,48353,April
48355,Nueces County,"Nueces County, Texas",0,48,355,,34,0,,,,3,9.68,0,24,240,0,,0,,0,,0.01,0,9.43,0,48355,April
48357,Ochiltree County,"Ochiltree County, Texas",0,48,357,,,,,,,,,,,,,,,,,,,,,,48357,April
48359,Oldham County,"Oldham County, Texas",0,48,359,,2,1,,,,0,0,0,1,100,0,,0,0,0,,0.1,0.05,95.69,47.85,48359,April
48361,Orange County,"Orange County, Texas",0,48,361,,7,0,,,,2,40,0,6,600,0,,0,,0,,0.01,0,8.33,0,48361,April
48363,Palo Pinto County,"Palo Pinto County, Texas",0,48,363,,,,,,,,,,,,,,,,,,,,,,48363,April
48365,Panola County,"Panola County, Texas",0,48,365,,,,,,,,,,,,,,,,,,,,,,48365,April
48367,Parker County,"Parker County, Texas",0,48,367,,4,0,,,,0,0,0,3,300,0,,0,,0,,0,0,3.08,0,48367,April
48369,Parmer County,"Parmer County, Texas",0,48,369,,,,,,,,,,,,,,,,,,,,,,48369,April
48371,Pecos County,"Pecos County, Texas",0,48,371,,,,,,,,,,,,,,,,,,,,,,48371,April
48373,Polk County,"Polk County, Texas",0,48,373,,4,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,8.36,0,48373,April
